Sentence Number,Word Count,Common Word Count,Uncommon Word Count,Uncommon Length Ratio,Uncommon Common Ratio,Article Position,Uncommon Score
0,36,11,20,0.5555555555555556,1.8181818181818181,0.0,46
30,40,17,23,0.575,1.3529411764705883,90.9090909090909,45
24,21,8,13,0.6190476190476191,1.625,72.72727272727273,43
29,35,17,18,0.5142857142857142,1.0588235294117647,87.87878787878788,41
12,13,4,8,0.6153846153846154,2.0,36.36363636363637,37
28,21,6,15,0.7142857142857143,2.5,84.84848484848484,36
6,21,6,14,0.6666666666666666,2.3333333333333335,18.181818181818183,36
13,26,9,17,0.6538461538461539,1.8888888888888888,39.39393939393939,35
1,20,7,13,0.65,1.8571428571428572,3.0303030303030303,35
20,26,13,13,0.5,1.0,60.60606060606061,31
27,27,13,13,0.48148148148148145,1.0,81.81818181818183,26
14,20,7,12,0.6,1.7142857142857142,42.42424242424242,26
32,20,8,11,0.55,1.375,96.96969696969697,25
15,24,10,13,0.5416666666666666,1.3,45.45454545454545,24
25,19,6,13,0.6842105263157895,2.1666666666666665,75.75757575757575,20
18,20,8,11,0.55,1.375,54.54545454545454,20
17,17,7,9,0.5294117647058824,1.2857142857142858,51.515151515151516,19
9,17,9,7,0.4117647058823529,0.7777777777777778,27.27272727272727,15
8,16,7,8,0.5,1.1428571428571428,24.242424242424242,15
22,22,12,8,0.36363636363636365,0.6666666666666666,66.66666666666666,12
16,10,4,6,0.6,1.5,48.484848484848484,11
10,12,3,8,0.6666666666666666,2.6666666666666665,30.303030303030305,11
31,14,7,6,0.42857142857142855,0.8571428571428571,93.93939393939394,7
26,15,7,7,0.4666666666666667,1.0,78.78787878787878,7
2,7,3,3,0.42857142857142855,1.0,6.0606060606060606,6
19,4,2,2,0.5,1.0,57.57575757575758,5
11,5,2,2,0.4,1.0,33.33333333333333,3
23,2,0,1,0.5,1.0,69.6969696969697,1
0,31,6,25,0.8064516129032258,4.166666666666667,0.0,50
1,32,12,19,0.59375,1.5833333333333333,14.285714285714285,27
3,21,10,10,0.47619047619047616,1.0,42.857142857142854,15
4,16,7,9,0.5625,1.2857142857142858,57.14285714285714,14
6,22,12,10,0.45454545454545453,0.8333333333333334,85.71428571428571,13
5,6,2,3,0.5,1.5,71.42857142857143,6
2,6,2,4,0.6666666666666666,2.0,28.57142857142857,5
30,35,17,17,0.4857142857142857,1.0,88.23529411764706,62
